WTGID,Loc,MonthStartDate,f1,f2,f3,f4,f5,f6,target,Dataset
435,0,1/1/2023 0:00,3,495.223663,11.55950183,53.61934595,56.19985421,44.64035238,0,model
435,0,2/1/2023 0:00,4,449.710518,12.72074784,57.88407749,60.66253458,47.94178674,0,model
435,0,9/1/2023 0:00,20,41.39183,24.52663099,67.49293521,70.10308732,45.57645634,0,val
435,0,1/1/2024 0:00,3,672.393671,10.35546128,54.10351892,56.72424813,46.36878684,0,val
435,0,2/1/2024 0:00,4,648.650731,10.75289201,56.36729696,59.14086389,48.38797188,0,val
436,0,10/1/2022 0:00,15,0.027138,21.7135,55.84610193,57.40119617,35.68769617,0,model
436,0,12/1/2022 0:00,3,394.086237,11.19817862,51.16368131,52.61639385,41.41821523,0,model
436,0,1/1/2023 0:00,2,483.94477,11.61359456,50.88162997,52.34693052,40.73333596,0,model
436,0,2/1/2023 0:00,4,439.506732,12.68346704,54.07734814,55.61473913,42.93127209,0,model
436,0,9/1/2023 0:00,20,38.821059,25.37023641,64.4658048,66.22861957,40.85838315,0,val
436,0,1/1/2024 0:00,3,611.387816,10.7517277,53.47083356,54.92076897,44.16904128,0,val
436,0,2/1/2024 0:00,2,648.662209,11.03549061,53.5819364,55.02008619,43.98459558,0,val
437,0,12/1/2023 0:00,1,539.105902,11.25115514,46.58508938,49.53183642,38.28068128,0,val
437,0,1/1/2024 0:00,3,442.524,11.94087837,47.91942621,50.89418204,38.95330367,0,val
437,0,2/1/2024 0:00,2,429.006864,11.11168553,46.95619429,49.89086549,38.77917996,0,val
438,0,2/1/2024 0:00,3,434.255305,11.57377465,51.42656088,53.9806216,42.40684695,0,val
439,0,1/1/2024 0:00,4,473.773574,12.51192105,48.93469895,51.52564035,39.0137193,0,val
439,0,2/1/2024 0:00,2,408.103032,11.52027717,48.15747393,50.84044819,39.32017102,0,val
440,0,1/1/2024 0:00,4,454.290422,12.62517688,49.21881229,51.88509405,39.25991717,0,val
440,0,2/1/2024 0:00,2,433.893444,11.63837378,47.78592477,50.44320254,38.80482877,0,val
441,0,12/1/2023 0:00,1,508.973007,11.18892754,48.99415459,51.28573188,40.09680435,0,val
441,0,1/1/2024 0:00,2,452.791977,11.82102755,49.42605799,51.75339708,39.93236953,0,val
441,0,2/1/2024 0:00,2,435.123323,10.86635836,47.74296141,49.99821321,39.13185485,0,val
442,0,1/1/2024 0:00,3,459.227763,12.31415132,52.18918757,56.13087368,43.81672237,0,val
